Bid Price,Bid Quantity,Ask Price,Ask Quantity
0.00265880,30.00000000,0.00265910,3.20000000
0.00265850,247.88000000,0.00265950,34.12000000
0.00265840,0.92000000,0.00265960,190.71000000
0.00265830,1.29000000,0.00265980,7.41000000
0.00265820,0.61000000,0.00265990,5.72000000
0.00265810,1.05000000,0.00266010,2.87000000
0.00265800,2.09000000,0.00266020,45.07000000
0.00265790,0.38000000,0.00266040,75.22000000
0.00265780,7.34000000,0.00266050,3.99000000
0.00265770,13.54000000,0.00266060,75.22000000
0.00265760,0.33000000,0.00266080,75.22000000
0.00265750,0.30000000,0.00266090,1.89000000
0.00265740,1.61000000,0.00266100,2.14000000
0.00265730,10.06000000,0.00266120,2.06000000
0.00265720,0.09000000,0.00266130,303.47000000
0.00265710,2.24000000,0.00266140,85.00000000
0.00265700,9.18000000,0.00266150,36.41000000
0.00265690,62.05000000,0.00266180,45.99000000
0.00265680,0.08000000,0.00266190,85.81000000
0.00265670,0.33000000,0.00266200,124.96000000
0.00265660,77.46000000,0.00266210,2.92000000
0.00265650,129.94000000,0.00266220,33.09000000
0.00265640,22.69000000,0.00266230,37.26000000
0.00265620,3.43000000,0.00266240,81.28000000
0.00265610,1.26000000,0.00266250,93.16000000
0.00265600,0.34000000,0.00266260,125.75000000
0.00265580,52.10000000,0.00266290,44.75000000
0.00265570,102.84000000,0.00266300,1.76000000
0.00265560,7.04000000,0.00266320,888.81000000
0.00265550,77.49000000,0.00266330,125.00000000
0.00265540,48.31000000,0.00266340,18.65000000
0.00265530,1.84000000,0.00266350,54.24000000
0.00265520,135.55000000,0.00266370,85.19000000
0.00265510,3.79000000,0.00266390,128.49000000
0.00265500,1.29000000,0.00266400,3.26000000
0.00265490,0.24000000,0.00266410,62.90000000
0.00265480,51.94000000,0.00266420,1.47000000
0.00265470,1.28000000,0.00266450,2.92000000
0.00265460,1.28000000,0.00266480,93.56000000
0.00265450,1.82000000,0.00266490,2.14000000
0.00265440,22.40000000,0.00266500,1.78000000
0.00265430,3.70000000,0.00266520,67.46000000
0.00265420,0.69000000,0.00266530,3.13000000
0.00265410,4.32000000,0.00266550,2.52000000
0.00265400,66.85000000,0.00266560,0.62000000
0.00265390,38.65000000,0.00266580,3.96000000
0.00265380,1.05000000,0.00266600,1.84000000
0.00265370,1.48000000,0.00266630,2.42000000
0.00265360,0.05000000,0.00266660,2.04000000
0.00265350,45.98000000,0.00266670,212.22000000
0.00265340,3.43000000,0.00266720,400.00000000
0.00265330,2.12000000,0.00266730,0.04000000
0.00265320,0.45000000,0.00266740,1.71000000
0.00265310,64.80000000,0.00266750,45.00000000
0.00265300,34.16000000,0.00266780,0.53000000
0.00265290,219.47000000,0.00266790,2.52000000
0.00265280,871.61000000,0.00266800,2.39000000
0.00265260,400.39000000,0.00266810,172.60000000
0.00265250,53.69000000,0.00266850,6.13000000
0.00265240,0.05000000,0.00266880,3.13000000
0.00265230,0.67000000,0.00266890,2.63000000
0.00265220,8.36000000,0.00266900,0.66000000
0.00265210,347.43000000,0.00266930,2.94000000
0.00265200,3.14000000,0.00266940,1.66000000
0.00265190,4.25000000,0.00266950,2.90000000
0.00265180,0.26000000,0.00266960,0.50000000
0.00265170,0.05000000,0.00266970,1.87000000
0.00265160,0.22000000,0.00267000,2.56000000
0.00265150,0.87000000,0.00267010,3.32000000
0.00265140,1.12000000,0.00267020,1.40000000
0.00265130,0.61000000,0.00267030,1.23000000
0.00265120,45.13000000,0.00267060,3.55000000
0.00265110,0.84000000,0.00267090,0.49000000
0.00265100,15.36000000,0.00267100,3.40000000
0.00265090,68.07000000,0.00267110,1.27000000
0.00265080,0.72000000,0.00267120,0.48000000
0.00265070,1.32000000,0.00267130,0.66000000
0.00265060,2.79000000,0.00267140,0.23000000
0.00265050,1.69000000,0.00267150,0.19000000
0.00265040,0.49000000,0.00267160,0.40000000
0.00265020,172.70000000,0.00267170,0.10000000
0.00265010,4.46000000,0.00267180,0.26000000
0.00265000,185.37000000,0.00267190,3.96000000
0.00264990,3.08000000,0.00267200,3.84000000
0.00264980,10.04000000,0.00267210,4.38000000
0.00264970,1.59000000,0.00267230,0.05000000
0.00264960,1.39000000,0.00267250,0.62000000
0.00264950,0.30000000,0.00267260,6.42000000
0.00264940,3.06000000,0.00267270,3.61000000
0.00264930,1.06000000,0.00267280,2.32000000
0.00264920,155.59000000,0.00267290,4.17000000
0.00264910,4.40000000,0.00267330,10.09000000
0.00264900,2.73000000,0.00267340,2101.82000000
0.00264890,55.83000000,0.00267350,0.62000000
0.00264880,14.71000000,0.00267360,0.20000000
0.00264870,3.86000000,0.00267370,0.34000000
0.00264860,3.33000000,0.00267380,0.25000000
0.00264850,4.06000000,0.00267390,12.32000000
0.00264840,1.30000000,0.00267400,7.47000000
0.00264830,0.72000000,0.00267410,6.13000000
0.00264820,0.22000000,0.00267420,0.17000000
0.00264810,4.14000000,0.00267430,0.92000000
0.00264800,61.52000000,0.00267440,0.05000000
0.00264790,4.81000000,0.00267450,1.62000000
0.00264780,4.43000000,0.00267460,2.96000000
0.00264770,68.10000000,0.00267470,1714.28000000
0.00264760,2.81000000,0.00267490,3.43000000
0.00264750,1.26000000,0.00267500,2.27000000
0.00264730,1.98000000,0.00267510,0.28000000
0.00264720,0.24000000,0.00267520,1.45000000
0.00264710,9.91000000,0.00267530,2.88000000
0.00264700,0.44000000,0.00267540,0.08000000
0.00264690,0.84000000,0.00267550,5.14000000
0.00264680,284.98000000,0.00267560,2.46000000
0.00264670,0.97000000,0.00267570,0.26000000
0.00264660,241.89000000,0.00267580,10.22000000
0.00264650,0.31000000,0.00267590,0.19000000
0.00264640,17.88000000,0.00267600,1.21000000
0.00264630,5.84000000,0.00267620,4.35000000
